# tau	obs1	obs2	std1	std2
2.599999999999998979e-01 -8.637695312500000000e-01 9.770507812500000000e-01 7.873235741178510189e-03 3.328226629124823952e-03
2.699999999999999067e-01 -8.369140625000000000e-01 9.760742187500000000e-01 8.552098666354306100e-03 3.397462844848097262e-03
2.799999999999999156e-01 -8.007812500000000000e-01 9.804687500000000000e-01 9.358701844120157973e-03 3.073045867962428002e-03
2.899999999999999245e-01 -8.686523437500000000e-01 9.824218750000000000e-01 7.740971077775765131e-03 2.916784482801634132e-03
2.999999999999999334e-01 -7.993164062500000000e-01 9.829101562500000000e-01 9.389224660299611697e-03 2.876342449002846236e-03
3.099999999999999423e-01 -8.305664062500000000e-01 9.843750000000000000e-01 8.701868805337879473e-03 2.751325114644688485e-03
3.199999999999998956e-01 -8.457031250000000000e-01 9.814453125000000000e-01 8.338338372116985489e-03 2.995972987778816599e-03
3.299999999999998490e-01 -8.378906250000000000e-01 9.785156250000000000e-01 8.528721301882992087e-03 3.221448036045324297e-03
3.399999999999998579e-01 -7.978515625000000000e-01 9.746093750000000000e-01 9.419592958197409507e-03 3.498624386551267649e-03
3.499999999999998668e-01 -8.061523437500000000e-01 9.653320312500000000e-01 9.245438046648174826e-03 4.078516188216757196e-03
3.599999999999998757e-01 -8.222656250000000000e-01 9.560546875000000000e-01 8.892248340694155345e-03 4.581068659793426263e-03
3.699999999999998845e-01 -8.183593750000000000e-01 9.707031250000000000e-01 8.979794122246455290e-03 3.754406366764960045e-03
3.799999999999998934e-01 -8.164062500000000000e-01 9.721679687500000000e-01 9.023093675280398698e-03 3.660702435118321201e-03
3.899999999999999023e-01 -8.466796875000000000e-01 9.809570312500000000e-01 8.314107967934166246e-03 3.034763702944852717e-03
3.999999999999998002e-01 -8.457031250000000000e-01 9.799804687500000000e-01 8.338338372116985489e-03 3.110838257635475772e-03
4.099999999999998090e-01 -8.212890625000000000e-01 9.790039062500000000e-01 8.914254569275404522e-03 3.185023223830273260e-03
4.199999999999998179e-01 -8.554687500000000000e-01 9.580078125000000000e-01 8.091475575905060502e-03 4.480345292789202766e-03
4.299999999999998268e-01 -7.475585937500000000e-01 9.423828125000000000e-01 1.037806041211979113e-02 5.227131992156430242e-03
4.399999999999998357e-01 -7.475585937500000000e-01 8.500976562500000000e-01 1.037806041211979113e-02 8.228516874306469192e-03
4.499999999999998446e-01 -6.240234375000000000e-01 8.095703125000000000e-01 1.220946287731808008e-02 9.172233131831689784e-03
4.599999999999998535e-01 -5.561523437500000000e-01 6.621093750000000000e-01 1.298563067918072009e-02 1.170948775150367459e-02
4.699999999999998623e-01 -5.278320312500000000e-01 6.015625000000000000e-01 1.327107465713676070e-02 1.248165214551652351e-02
4.799999999999997602e-01 -3.686523437500000000e-01 4.340820312500000000e-01 1.452448977030865347e-02 1.407614607125144690e-02
4.899999999999997691e-01 -3.422851562500000000e-01 4.165039062500000000e-01 1.468118940070800918e-02 1.420521759954464398e-02
4.999999999999997780e-01 -2.246093750000000000e-01 2.749023437500000000e-01 1.522576382158577664e-02 1.502300239392642678e-02
5.099999999999997868e-01 -1.967773437500000000e-01 2.612304687500000000e-01 1.531950315769753206e-02 1.508244467104198627e-02
5.199999999999997957e-01 -1.992187500000000000e-01 2.641601562500000000e-01 1.531179757356073909e-02 1.506998170523725193e-02
5.299999999999998046e-01 -2.304687500000000000e-01 3.041992187500000000e-01 1.520437073578035508e-02 1.488450683688636103e-02
5.399999999999998135e-01 -3.608398437500000000e-01 4.438476562500000000e-01 1.457230932331167114e-02 1.400159779213641133e-02
5.499999999999998224e-01 -3.525390625000000000e-01 5.249023437500000000e-01 1.462182966281525519e-02 1.329941340273601072e-02
5.599999999999997202e-01 -4.511718750000000000e-01 7.021484375000000000e-01 1.394432935267750535e-02 1.112547808528028571e-02
5.699999999999997291e-01 -4.995117187500000000e-01 7.724609375000000000e-01 1.353604890032131421e-02 9.922848131862303800e-03
5.799999999999997380e-01 -6.264648437500000000e-01 9.047851562500000000e-01 1.217890120883700043e-02 6.654192409193627512e-03
5.899999999999997469e-01 -7.480468750000000000e-01 9.311523437500000000e-01 1.036946709586515289e-02 5.697349659859368524e-03
5.999999999999997558e-01 -7.968750000000000000e-01 9.750976562500000000e-01 9.439753383389259955e-03 3.465248823409909033e-03
6.099999999999997646e-01 -7.944335937500000000e-01 9.790039062500000000e-01 9.489859734147494327e-03 3.185023223830273260e-03
